ts_code,name,symbol
600195.SH,中牧股份,600195
600196.SH,复星医药,600196
600197.SH,伊力特,600197
600198.SH,大唐电信,600198
600199.SH,金种子酒,600199
600201.SH,生物股份,600201
600202.SH,哈空调,600202
600203.SH,福日电子,600203
600206.SH,有研新材,600206
600207.SH,安彩高科,600207
600208.SH,衢州发展,600208
600210.SH,紫江企业,600210
600211.SH,西藏药业,600211
600212.SH,绿能慧充,600212
600215.SH,派斯林,600215
600216.SH,浙江医药,600216
600217.SH,中再资环,600217
600218.SH,全柴动力,600218
600219.SH,南山铝业,600219
600221.SH,海航控股,600221
600222.SH,太龙药业,600222
600223.SH,福瑞达,600223
600226.SH,亨通股份,600226
600227.SH,赤天化,600227
600228.SH,*ST返利,600228
600229.SH,城市传媒,600229
600230.SH,沧州大化,600230
600231.SH,凌钢股份,600231
600232.SH,金鹰股份,600232
600233.SH,圆通速递,600233
600234.SH,科新发展,600234
600235.SH,民丰特纸,600235
600236.SH,桂冠电力,600236
600237.SH,铜峰电子,600237
600238.SH,*ST椰岛,600238
600239.SH,云南城投,600239
600241.SH,时代万恒,600241
600243.SH,*ST海华,600243
600246.SH,万通发展,600246
600248.SH,陕建股份,600248
600249.SH,两面针,600249
600250.SH,南京商旅,600250
600251.SH,冠农股份,600251
600252.SH,中恒集团,600252
600255.SH,鑫科材料,600255
600256.SH,广汇能源,600256
600257.SH,大湖股份,600257
600258.SH,首旅酒店,600258
600259.SH,中稀有色,600259
600261.SH,阳光照明,600261
600262.SH,北方股份,600262
600265.SH,ST景谷,600265
600266.SH,城建发展,600266
600267.SH,海正药业,600267
600268.SH,国电南自,600268
600269.SH,赣粤高速,600269
600271.SH,航天信息,600271
600272.SH,开开实业,600272
600273.SH,嘉化能源,600273
600276.SH,恒瑞医药,600276
600278.SH,东方创业,600278
600279.SH,重庆港,600279
600280.SH,中央商场,600280
600281.SH,华阳新材,600281
600282.SH,南钢股份,600282
600283.SH,钱江水利,600283
600284.SH,浦东建设,600284
600285.SH,羚锐制药,600285
600287.SH,苏豪时尚,600287
600288.SH,大恒科技,600288
600289.SH,ST信通,600289
600292.SH,电投水电,600292
600293.SH,三峡新材,600293
600295.SH,鄂尔多斯,600295
600298.SH,安琪酵母,600298
600299.SH,安迪苏,600299
600300.SH,维维股份,600300
600301.SH,华锡有色,600301
600302.SH,标准股份,600302
600303.SH,曙光股份,600303
600305.SH,恒顺醋业,600305
600307.SH,酒钢宏兴,600307
600308.SH,华泰股份,600308
600309.SH,万华化学,600309
600310.SH,广西能源,600310
600312.SH,平高电气,600312
600313.SH,农发种业,600313
600315.SH,上海家化,600315
600316.SH,洪都航空,600316
600318.SH,新力金融,600318
600319.SH,亚星化学,600319
600320.SH,振华重工,600320
600322.SH,津投城开,600322
600323.SH,瀚蓝环境,600323
600325.SH,华发股份,600325
600326.SH,西藏天路,600326
600327.SH,大东方,600327
600328.SH,中盐化工,600328
600329.SH,达仁堂,600329
600330.SH,天通股份,600330
600331.SH,宏达股份,600331
600332.SH,白云山,600332
600333.SH,长春燃气,600333
600335.SH,国机汽车,600335
600336.SH,澳柯玛,600336
600337.SH,美克家居,600337
600338.SH,西藏珠峰,600338
600339.SH,中油工程,600339
600340.SH,华夏幸福,600340
600343.SH,航天动力,600343
600345.SH,长江通信,600345
600346.SH,恒力石化,600346
600348.SH,华阳股份,600348
600350.SH,山东高速,600350
600351.SH,亚宝药业,600351
600352.SH,浙江龙盛,600352
600353.SH,旭光电子,600353
600354.SH,敦煌种业,600354
600355.SH,*ST精伦,600355
600356.SH,恒丰纸业,600356
600358.SH,ST联合,600358
600359.SH,新农开发,600359
600360.SH,*ST华微,600360
600361.SH,创新新材,600361
600362.SH,江西铜业,600362
600363.SH,联创光电,600363
600365.SH,ST通葡,600365
600366.SH,宁波韵升,600366
600367.SH,红星发展,600367
600368.SH,五洲交通,600368
600369.SH,西南证券,600369
600370.SH,三房巷,600370
600371.SH,万向德农,600371
600372.SH,中航机载,600372
600373.SH,中文传媒,600373
600375.SH,汉马科技,600375
600376.SH,首开股份,600376
600377.SH,宁沪高速,600377
600378.SH,昊华科技,600378
600379.SH,宝光股份,600379
600380.SH,健康元,600380
600381.SH,*ST春天,600381
600382.SH,广东明珠,600382
600383.SH,金地集团,600383
600386.SH,北巴传媒,600386
600388.SH,龙净环保,600388
600389.SH,江山股份,600389
600390.SH,五矿资本,600390
600391.SH,航发科技,600391
600392.SH,盛和资源,600392
600395.SH,盘江股份,600395
600396.SH,华电辽能,600396
600397.SH,江钨装备,600397
600398.SH,海澜之家,600398
600399.SH,抚顺特钢,600399
600400.SH,红豆股份,600400
600403.SH,大有能源,600403
600405.SH,动力源,600405
600406.SH,国电南瑞,600406
600408.SH,安泰集团,600408
600409.SH,三友化工,600409
600410.SH,华胜天成,600410
600415.SH,小商品城,600415
600416.SH,湘电股份,600416
600418.SH,江淮汽车,600418
600419.SH,天润乳业,600419
600420.SH,国药现代,600420
600421.SH,*ST华嵘,600421
600422.SH,昆药集团,600422
600423.SH,柳化股份,600423
600425.SH,青松建化,600425
600426.SH,华鲁恒升,600426
600428.SH,中远海特,600428
600429.SH,三元股份,600429
600433.SH,冠豪高新,600433
600435.SH,北方导航,600435
600436.SH,片仔癀,600436
600438.SH,通威股份,600438
600439.SH,瑞贝卡,600439
600444.SH,国机通用,600444
600446.SH,金证股份,600446
600448.SH,华纺股份,600448
600449.SH,宁夏建材,600449
600452.SH,涪陵电力,600452
600455.SH,博通股份,600455
600456.SH,宝钛股份,600456
600458.SH,时代新材,600458
600459.SH,贵研铂业,600459
600460.SH,士兰微,600460
600461.SH,洪城环境,600461
600463.SH,空港股份,600463
600467.SH,好当家,600467
600468.SH,百利电气,600468
600469.SH,风神股份,600469
600470.SH,六国化工,600470
600475.SH,华光环能,600475
